cpu-bind=MASK - bp1-compute065, task 4294967295 4294967295 [0]: mask 0xffdfdcffdfdc set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.691583 secs
Exciton, frame 48515 ran in:  12.695879459381104
Exciton, frame 48516 ran in:  13.17474365234375
Exciton, frame 48517 ran in:  13.24515175819397
Exciton, frame 48518 ran in:  13.137068033218384
Exciton, frame 48519 ran in:  13.331206321716309
Exciton, frame 48520 ran in:  12.923429250717163
Exciton, frame 48521 ran in:  13.213900804519653
Exciton, frame 48522 ran in:  13.096485614776611
Exciton, frame 48523 ran in:  12.755935192108154
Exciton, frame 48524 ran in:  13.235041618347168
Exciton, frame 48525 ran in:  13.062520742416382
Exciton, frame 48526 ran in:  12.997857093811035
Exciton, frame 48527 ran in:  12.93532943725586
Exciton, frame 48528 ran in:  12.699360847473145
Exciton, frame 48529 ran in:  13.076829195022583
Exciton, frame 48530 ran in:  13.218799591064453
Exciton, frame 48531 ran in:  13.253746509552002
Exciton, frame 48532 ran in:  13.163545370101929
Exciton, frame 48533 ran in:  13.059932470321655
Exciton, frame 48534 ran in:  13.243352174758911
Exciton, frame 48535 ran in:  12.780015468597412
Exciton, frame 48536 ran in:  13.09768295288086
Exciton, frame 48537 ran in:  13.375422477722168
Exciton, frame 48538 ran in:  13.274135112762451
Exciton, frame 48539 ran in:  12.925345420837402
Exciton, frame 48540 ran in:  12.955496072769165
Exciton, frame 48541 ran in:  12.906825065612793
Exciton, frame 48542 ran in:  12.86629319190979
Exciton, frame 48543 ran in:  12.83200979232788
Exciton, frame 48544 ran in:  13.09158444404602
Exciton, frame 48545 ran in:  12.632606029510498
Exciton, frame 48546 ran in:  12.626981735229492
Exciton, frame 48547 ran in:  12.570759057998657
Exciton, frame 48548 ran in:  13.070462703704834
Exciton, frame 48549 ran in:  12.560223817825317
